,date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,Unnamed: 10
19,07:07:14 22.06.25,1750576034,25,male,stem,stem,3-4,visual,brief,UID_xT24cp45nT04Er03Bw,
20,07:07:27 22.06.25,1750576047,30,male,stem,stem,0-1,visual,detailed,UID_iT47Xq60JJ14rW99nz,
21,07:09:17 22.06.25,1750576157,23,male,stem,stem,1-2,visual,brief,UID_Nh05qD35BC38Gt71Zp,
22,07:09:17 22.06.25,1750576157,19,female,stem,stem,1-2,visual,detailed,UID_nO24HW66ys09UB68kg,
23,07:09:17 22.06.25,1750576157,19,female,stem,stem,1-2,textual,detailed,UID_Ly35zm07CE79AJ71AL,
24,07:09:45 22.06.25,1750576185,22,male,stem,stem,1-2,visual,brief,UID_Vx42uE05WT52TC36Sb,
25,07:09:59 22.06.25,1750576199,18,female,stem,stem,1-2,visual,detailed,UID_Ny82mm99jA65Kz86kc,
26,07:10:19 22.06.25,1750576219,18,male,stem,stem,1-2,visual,detailed,UID_Ui48Gp29Uy37Mp22rr,
27,07:10:23 22.06.25,1750576223,28,male,stem,stem,1-2,textual,detailed,UID_pU52rW52un31zY70zr,
28,07:10:35 22.06.25,1750576235,19,female,stem,stem,1-2,visual,brief,UID_Yz86DI77bB22Fa03Lb,
29,07:10:47 22.06.25,1750576247,24,male,stem,stem,1-2,visual,brief,UID_hj49Rw10Tl85xS05oS,
30,07:10:53 22.06.25,1750576253,25,male,stem,stem,1-2,visual,brief,UID_Rf68OM44VK16IW59jR,
31,07:10:55 22.06.25,1750576255,23,female,stem,stem,1-2,textual,detailed,UID_VQ81OX01Jp49rL63Mm,
32,07:11:06 22.06.25,1750576266,18,female,stem,stem,1-2,visual,brief,UID_FD57fE92eJ87yU05If,
33,07:12:01 22.06.25,1750576321,19,female,stem,stem,1-2,visual,brief,UID_ni50Zk52uv04Bx44yI,
34,07:12:07 22.06.25,1750576327,26,male,stem,stem,1-2,textual,brief,UID_lx05wC07nF78xc90bP,
35,07:22:37 22.06.25,1750576957,20,female,stem,stem,1-2,textual,brief,UID_Kg24ef54aE73wd38JF,
36,07:42:25 22.06.25,1750578145,20,male,stem,stem,1-2,textual,brief,UID_JY42el96UO55oA68JW,
37,07:49:41 22.06.25,1750578581,20,male,stem,stem,1-2,textual,detailed,UID_Gy14mT33cO64Pb39SB,
38,13:07:21 22.06.25,1750597641,24,male,stem,stem,1-2,visual,detailed,UID_YI62qL09gX02pt71gT,
39,13:10:39 22.06.25,1750597839,22,female,stem,stem,1-2,visual,detailed,UID_gO45uY31fe69vu68XK,
40,13:10:44 22.06.25,1750597844,18,male,stem,stem,1-2,textual,detailed,UID_mG39do97cO99Dh08lt,
41,13:10:52 22.06.25,1750597852,19,male,stem,stem,3-4,textual,brief,UID_LD56Bs25nb89Ii45cB,
42,13:11:25 22.06.25,1750597885,26,female,stem,stem,1-2,visual,brief,UID_CG33Bx41th36ou32Lz,
43,13:11:28 22.06.25,1750597888,21,male,stem,stem,1-2,textual,detailed,UID_Cx94jO67cG68at19np,
44,13:11:30 22.06.25,1750597890,18,male,stem,stem,1-2,textual,detailed,UID_bp49MI42go43mp73ON,
45,13:11:35 22.06.25,1750597895,25,male,stem,stem,1-2,visual,detailed,UID_kd11Mx77az59JZ19BW,
46,13:11:38 22.06.25,1750597898,22,female,stem,stem,3-4,textual,detailed,UID_am71EO45Kf18La26Yt,
47,13:11:42 22.06.25,1750597902,25,female,stem,stem,1-2,visual,detailed,UID_fK82pM28bY93on69nf,
48,13:11:51 22.06.25,1750597911,26,male,stem,stem,1-2,visual,detailed,UID_uy97qa01Rn70WH16hH,
49,13:11:51 22.06.25,1750597911,23,female,stem,stem,1-2,visual,detailed,UID_px65Eb60MY35QU64Ug,
50,13:11:53 22.06.25,1750597913,1,male,stem,stem,0-1,textual,brief,UID_kA05xv27XV42wv16tf,
51,13:12:02 22.06.25,1750597922,30,male,stem,stem,0-1,visual,brief,UID_si83yM64Gt57aw47SZ,
52,13:12:19 22.06.25,1750597939,26,male,stem,stem,1-2,textual,detailed,UID_AA98Pb15Wu11uB26cZ,
53,13:12:19 22.06.25,1750597939,23,male,stem,stem,1-2,textual,detailed,UID_EE08cu30Ja03zP93ce,
54,13:12:26 22.06.25,1750597946,24,male,stem,stem,1-2,textual,detailed,UID_Nd00vb42Gn72gc29yd,
55,13:17:24 22.06.25,1750598244,24,male,stem,stem,3-4,textual,brief,UID_xg63lr11Ft55Yw69Sh,
56,07:06:52 23.06.25,1750662412,22,male,stem,stem,1-2,textual,detailed,UID_lO15KF69cB19UE08Xx,
57,07:13:55 23.06.25,1750662835,25,female,stem,stem,1-2,visual,detailed,UID_zg60nw16Zj14GE24OK,
58,07:13:59 23.06.25,1750662839,25,male,stem,stem,1-2,visual,detailed,UID_wj18Kx13UM38TJ69Xb,
59,07:13:59 23.06.25,1750662839,23,male,stem,stem,1-2,visual,detailed,UID_GT08Ed66cw32sT06tO,
60,07:14:04 23.06.25,1750662844,23,female,stem,stem,1-2,visual,brief,UID_wL06Fv75kd18dw37ki,
61,07:14:06 23.06.25,1750662846,24,female,stem,stem,3-4,visual,brief,UID_Kh33II87OE48me61wS,
62,07:14:15 23.06.25,1750662855,18,male,stem,stem,1-2,textual,detailed,UID_Xu32Gj19aG46FQ69zJ,
63,07:14:17 23.06.25,1750662857,27,male,stem,stem,1-2,visual,detailed,UID_gt02OG62nO82PI38pK,
64,07:14:20 23.06.25,1750662860,25,male,stem,stem,1-2,textual,detailed,UID_HM12iI31fB84kZ06UW,
65,07:14:22 23.06.25,1750662862,18,male,stem,stem,1-2,visual,detailed,UID_tx40hv78qq58IZ57qP,
66,07:14:30 23.06.25,1750662870,24,female,stem,stem,1-2,visual,brief,UID_wx00zb41RE78sd65vI,
67,07:14:59 23.06.25,1750662899,22,female,stem,stem,1-2,visual,detailed,UID_uD87YL97mT98wU91nT,
68,07:15:00 23.06.25,1750662900,25,female,stem,stem,1-2,visual,brief,UID_AL88fP97Bp56ex69kY,
69,07:15:15 23.06.25,1750662915,19,male,stem,stem,3-4,visual,detailed,UID_RI60NL91dt20vI45Zv,
70,07:15:25 23.06.25,1750662925,22,female,stem,stem,0-1,textual,brief,UID_oK46tL81TB22sM95PJ,
71,07:15:32 23.06.25,1750662932,18,male,stem,stem,1-2,visual,detailed,UID_Ap38aP78Xd24Ti19AZ,
72,08:06:24 23.06.25,1750665984,24,female,stem,stem,1-2,textual,brief,UID_FU14Hi32KR88EL70dP,
73,14:39:49 24.06.25,1750775989,27,male,stem,stem,1-2,visual,brief,UID_JV95WY58IU46vs90ON,
74,14:40:59 24.06.25,1750776059,26,male,stem,stem,1-2,visual,detailed,UID_dj72tz38vH49bG00hK,
75,14:42:05 24.06.25,1750776125,22,female,stem,stem,0-1,textual,detailed,UID_sX89HY66Hb45zR11DV,
76,14:43:15 24.06.25,1750776195,22,male,stem,stem,1-2,visual,brief,UID_Mt42wI53qu08cb59HZ,
77,14:43:21 24.06.25,1750776201,25,male,stem,stem,1-2,visual,detailed,UID_SG83Qp61pa74PN42tT,
78,14:45:33 24.06.25,1750776333,20,male,stem,stem,1-2,visual,detailed,UID_OK09vl97Vd69jc25cJ,
79,14:46:03 24.06.25,1750776363,25,female,stem,stem,1-2,visual,brief,UID_Ev92JD20CN53IE11IC,
80,15:40:18 24.06.25,1750779618,27,male,stem,stem,1-2,textual,brief,UID_vU68Pw24OW77Tm64UZ,
81,17:46:27 24.06.25,1750787187,58,female,stem,stem,1-2,visual,brief,UID_QO06Kz93iC02Lv08MS,
82,18:32:28 24.06.25,1750789948,26,female,stem,stem,3-4,visual,brief,UID_LE98zo14GI82DF18bF,
83,19:19:10 24.06.25,1750792750,34,male,stem,stem,1-2,textual,detailed,UID_JG54wN91du61Ls34Ng,
84,07:20:37 25.06.25,1750836037,31,male,stem,stem,1-2,textual,brief,UID_gW57Nd35VM60yL67dT,
85,07:36:10 25.06.25,1750836970,34,male,stem,stem,1-2,textual,detailed,UID_zH04vB39vY48BB82va,
86,06:47:43 02.07.25,1751438863,27,male,stem,stem,0-1,visual,brief,UID_Hg08dP61na51ZM56rQ,
87,07:14:54 02.07.25,1751440494,27,male,stem,stem,1-2,visual,brief,UID_TB24Xd47rO50uC82bW,
88,07:39:52 02.07.25,1751441992,25,male,stem,stem,3-4,visual,detailed,UID_qC25No67vP11AB03bR,
89,10:03:08 02.07.25,1751450588,26,male,stem,stem,1-2,visual,detailed,UID_Xc25bq55Ic87Qs53bk,
90,12:05:05 02.07.25,1751457905,28,female,stem,stem,0-1,visual,brief,UID_Iv20VI44US80dS78xY,
91,12:44:54 02.07.25,1751460294,27,male,stem,stem,1-2,visual,brief,UID_wB23Fp88kp97MH01LP,
92,07:57:20 03.07.25,1751529440,56,female,stem,stem,1-2,textual,detailed,UID_zJ06Xm51mv59uw34ZF,
93,07:58:13 03.07.25,1751529493,34,male,stem,stem,1-2,textual,detailed,UID_Eb25VY43sm07Yf87ww,
94,11:59:13 03.07.25,1751543953,26,female,stem,stem,1-2,visual,detailed,UID_tL21Td42TW96jx50JE,
95,14:09:18 03.07.25,1751551758,37,male,stem,stem,1-2,visual,detailed,UID_UA64iV84bd20uJ55aO,
96,17:09:50 03.07.25,1751562590,28,male,stem,stem,1-2,visual,brief,UID_vL31FS86ri66rZ14sT,
97,18:04:21 03.07.25,1751565861,34,male,stem,stem,3-4,textual,detailed,UID_EI38ib82HG46fU08oR,
98,04:49:08 04.07.25,1751604548,32,female,stem,stem,3-4,textual,brief,UID_Rs55MY88wb21UN85TJ,
99,07:40:20 04.07.25,1751614820,30,female,stem,stem,1-2,visual,brief,UID_cj57ak27iy05YN35ss,
100,13:59:55 04.07.25,1751637595,29,female,stem,stem,1-2,textual,brief,UID_Dq81al47Ej35mF08WN,
101,19:26:57 04.07.25,1751657217,33,male,stem,stem,1-2,visual,detailed,UID_Sh35Zq77op98yU87nc,
102,05:39:58 06.07.25,1751780398,25,male,stem,stem,3-4,visual,brief,UID_ZV94Gd16sF84aL62eH,
103,07:34:36 06.07.25,1751787276,27,male,stem,stem,5,visual,brief,UID_pk73wE89io45VZ91BF,
104,09:53:42 06.07.25,1751795622,26,male,stem,stem,1-2,visual,detailed,UID_Pv48eG17sn92Ge75sg,
105,10:41:39 06.07.25,1751798499,27,male,stem,stem,1-2,textual,brief,UID_CF02vC74Pc64Kl17qk,
106,14:03:18 06.07.25,1751810598,26,male,stem,stem,1-2,visual,detailed,UID_FG46xu58JO11lz44dt,
107,16:03:12 06.07.25,1751817792,20,male,stem,stem,1-2,textual,brief,UID_mC27mn99vZ72Ix97hE,
108,16:38:00 06.07.25,1751819880,22,male,stem,stem,3-4,visual,brief,UID_zx46vz31og35Jx66RA,
109,17:21:03 06.07.25,1751822463,27,male,stem,stem,5,visual,brief,UID_Fy84yY21tb83BJ62mg,
