tuid,ugroup,explanationType,faceSelected,selectedShapeIndex,predictedShapeChoiceIndex,trueShapeChoiceIndex,isCorrectPrediction,stepActionType,param1,param2,param3,param4,blockId,actionName,objectLogName,date,time
UID_qC25No67vP11AB03bR,E,,1,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,08:16:29 02.07.25,1751444189
UID_qC25No67vP11AB03bR,E,,1,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,08:29:04 02.07.25,1751444944
UID_qC25No67vP11AB03bR,E,,1,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,08:31:47 02.07.25,1751445107
UID_qC25No67vP11AB03bR,E,,1,2,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,08:38:18 02.07.25,1751445498
UID_qC25No67vP11AB03bR,E,,1,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,08:38:49 02.07.25,1751445529
UID_qC25No67vP11AB03bR,E,,2,4,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,08:40:41 02.07.25,1751445641
UID_qC25No67vP11AB03bR,E,,1,8,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,08:41:34 02.07.25,1751445694
UID_qC25No67vP11AB03bR,E,,1,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,08:41:49 02.07.25,1751445709
UID_qC25No67vP11AB03bR,E,,1,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,08:43:47 02.07.25,1751445827
UID_qC25No67vP11AB03bR,E,,1,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,08:43:59 02.07.25,1751445839
UID_Xc25bq55Ic87Qs53bk,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,10:06:25 02.07.25,1751450785
UID_Xc25bq55Ic87Qs53bk,E,,4,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,10:12:11 02.07.25,1751451131
UID_Xc25bq55Ic87Qs53bk,E,,4,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,10:14:42 02.07.25,1751451282
UID_Xc25bq55Ic87Qs53bk,E,,4,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,10:17:20 02.07.25,1751451440
UID_Xc25bq55Ic87Qs53bk,E,,3,4,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,10:22:11 02.07.25,1751451731
UID_Xc25bq55Ic87Qs53bk,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,10:24:04 02.07.25,1751451844
UID_Xc25bq55Ic87Qs53bk,E,,4,2,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,10:26:21 02.07.25,1751451981
UID_Xc25bq55Ic87Qs53bk,E,,3,6,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,10:31:48 02.07.25,1751452308
UID_Xc25bq55Ic87Qs53bk,E,,5,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,10:35:48 02.07.25,1751452548
UID_Xc25bq55Ic87Qs53bk,E,,4,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,10:39:10 02.07.25,1751452750
UID_Iv20VI44US80dS78xY,E,,2,8,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,12:10:10 02.07.25,1751458210
UID_Iv20VI44US80dS78xY,E,,4,5,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,12:16:37 02.07.25,1751458597
UID_Iv20VI44US80dS78xY,E,,3,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,12:18:13 02.07.25,1751458693
UID_Iv20VI44US80dS78xY,E,,3,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,12:21:56 02.07.25,1751458916
UID_Iv20VI44US80dS78xY,E,,3,2,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,12:24:55 02.07.25,1751459095
UID_Iv20VI44US80dS78xY,E,,3,3,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,12:27:31 02.07.25,1751459251
UID_Iv20VI44US80dS78xY,E,,3,4,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,12:29:43 02.07.25,1751459383
UID_Iv20VI44US80dS78xY,E,,3,6,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,12:33:23 02.07.25,1751459603
UID_Iv20VI44US80dS78xY,E,,4,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,12:34:34 02.07.25,1751459674
UID_Iv20VI44US80dS78xY,E,,4,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,12:35:55 02.07.25,1751459755
UID_wB23Fp88kp97MH01LP,E,,4,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,12:48:34 02.07.25,1751460514
UID_wB23Fp88kp97MH01LP,E,,4,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,12:51:17 02.07.25,1751460677
UID_wB23Fp88kp97MH01LP,E,,5,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,12:52:19 02.07.25,1751460739
UID_wB23Fp88kp97MH01LP,E,,5,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,12:53:47 02.07.25,1751460827
UID_wB23Fp88kp97MH01LP,E,,4,7,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,12:56:46 02.07.25,1751461006
UID_wB23Fp88kp97MH01LP,E,,3,8,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,12:58:34 02.07.25,1751461114
UID_wB23Fp88kp97MH01LP,E,,4,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,13:00:15 02.07.25,1751461215
UID_wB23Fp88kp97MH01LP,E,,3,3,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,13:03:11 02.07.25,1751461391
UID_wB23Fp88kp97MH01LP,E,,5,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,13:04:45 02.07.25,1751461485
UID_wB23Fp88kp97MH01LP,E,,5,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,13:05:51 02.07.25,1751461551
UID_Eb25VY43sm07Yf87ww,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,07:59:20 03.07.25,1751529560
UID_Eb25VY43sm07Yf87ww,E,,5,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,08:00:24 03.07.25,1751529624
UID_Eb25VY43sm07Yf87ww,E,,5,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,08:00:39 03.07.25,1751529639
UID_zJ06Xm51mv59uw34ZF,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,08:02:03 03.07.25,1751529723
UID_zJ06Xm51mv59uw34ZF,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,08:06:26 03.07.25,1751529986
UID_zJ06Xm51mv59uw34ZF,E,,5,7,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,08:10:02 03.07.25,1751530202
UID_Eb25VY43sm07Yf87ww,E,,3,2,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,08:11:16 03.07.25,1751530276
UID_Eb25VY43sm07Yf87ww,E,,5,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,08:11:40 03.07.25,1751530300
UID_Eb25VY43sm07Yf87ww,E,,3,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,08:14:45 03.07.25,1751530485
UID_Eb25VY43sm07Yf87ww,E,,4,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,08:16:09 03.07.25,1751530569
UID_Eb25VY43sm07Yf87ww,E,,3,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,08:18:10 03.07.25,1751530690
UID_zJ06Xm51mv59uw34ZF,E,,5,5,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,08:18:40 03.07.25,1751530720
UID_Eb25VY43sm07Yf87ww,E,,4,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,08:19:46 03.07.25,1751530786
UID_Eb25VY43sm07Yf87ww,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,08:19:57 03.07.25,1751530797
UID_zJ06Xm51mv59uw34ZF,E,,5,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,08:23:00 03.07.25,1751530980
UID_zJ06Xm51mv59uw34ZF,E,,4,6,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,08:30:41 03.07.25,1751531441
UID_zJ06Xm51mv59uw34ZF,E,,5,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,08:32:44 03.07.25,1751531564
UID_zJ06Xm51mv59uw34ZF,E,,5,8,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,08:58:37 03.07.25,1751533117
UID_zJ06Xm51mv59uw34ZF,E,,5,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,08:58:46 03.07.25,1751533126
UID_zJ06Xm51mv59uw34ZF,E,,5,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,08:58:57 03.07.25,1751533137
UID_tL21Td42TW96jx50JE,E,,5,4,4,4,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6999_SubmitRatingBtn,12:01:44 03.07.25,1751544104
UID_tL21Td42TW96jx50JE,E,,3,8,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,12:02:55 03.07.25,1751544175
UID_tL21Td42TW96jx50JE,E,,4,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,12:04:06 03.07.25,1751544246
UID_tL21Td42TW96jx50JE,E,,4,7,7,7,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1229_SubmitRatingBtn,12:05:03 03.07.25,1751544303
UID_tL21Td42TW96jx50JE,E,,5,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,12:07:29 03.07.25,1751544449
UID_tL21Td42TW96jx50JE,E,,4,4,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,12:08:32 03.07.25,1751544512
UID_tL21Td42TW96jx50JE,E,,3,5,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,12:10:15 03.07.25,1751544615
UID_tL21Td42TW96jx50JE,E,,4,1,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,12:12:04 03.07.25,1751544724
UID_tL21Td42TW96jx50JE,E,,2,7,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,12:13:30 03.07.25,1751544810
UID_tL21Td42TW96jx50JE,E,,3,7,7,6,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_7108_SubmitRatingBtn,12:14:38 03.07.25,1751544878
UID_UA64iV84bd20uJ55aO,E,,5,5,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,14:12:50 03.07.25,1751551970
UID_vL31FS86ri66rZ14sT,E,,4,3,2,1,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_6569_SubmitRatingBtn,17:14:06 03.07.25,1751562846
UID_vL31FS86ri66rZ14sT,E,,5,2,5,5,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_218,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_218_SubmitRatingBtn,17:16:58 03.07.25,1751563018
UID_vL31FS86ri66rZ14sT,E,,4,1,7,8,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_128,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_128_SubmitRatingBtn,17:19:20 03.07.25,1751563160
UID_vL31FS86ri66rZ14sT,E,,3,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_219,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_219_SubmitRatingBtn,17:20:30 03.07.25,1751563230
UID_vL31FS86ri66rZ14sT,E,,5,1,1,1,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_a_SubmitRatingBtn,17:23:24 03.07.25,1751563404
UID_vL31FS86ri66rZ14sT,E,,5,2,2,2,yes,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_1228_b_SubmitRatingBtn,17:24:20 03.07.25,1751563460
UID_vL31FS86ri66rZ14sT,E,,3,2,8,7,no,SubmitConfidenceForShape,,,,,confidence_rating1_stage_i0_Explanation_ShapeIndex_429,click,confidence_rating1_stage_i0_Explanation_ShapeIndex_429_SubmitRatingBtn,17:25:55 03.07.25,1751563555
