date,time,Age,Gender,EducationalBackground,ProfessionalBackground,AIExperienceYears,ExplanationTypePreference,DetailsInExplanationPreference,RandomTempUID,IdNumber,
20:42:12 08.10.25,1759956132,34,male,non-stem,non-stem,0-1,textual,brief,UID_eA12os33mC17To87Jg,,
20:47:28 08.10.25,1759956448,35,male,stem,stem,3-4,textual,brief,UID_Js96Ah93OT36Br27hH,,
20:50:10 08.10.25,1759956610,35,male,stem,stem,5,textual,detailed,UID_Wz76KQ53iV42Wg81Yp,,
20:53:30 08.10.25,1759956810,29,male,non-stem,non-stem,0-1,textual,detailed,UID_Tl77VV99Pd61Tw54rC,,
20:56:10 08.10.25,1759956970,26,male,stem,stem,1-2,visual,brief,UID_ni93Uw33uW74QH76ey,,
20:58:18 08.10.25,1759957098,33,male,non-stem,non-stem,0-1,visual,detailed,UID_ng76tE28tf82Va03Dx,,
21:06:56 08.10.25,1759957616,22,male,stem,non-stem,3-4,visual,brief,UID_bF34JD83bU48eK64Nt,,
21:09:32 08.10.25,1759957772,56,female,stem,stem,3-4,visual,detailed,UID_Fs42ja17Wv06lQ18lr,,
05:34:24 15.10.25,1760506464,32,male,stem,stem,3-4,textual,brief,UID_SP20sl36fj69qK77Fk,,
05:38:33 15.10.25,1760506713,20,male,stem,stem,3-4,visual,brief,UID_qr94Yx05fa61mj92cG,,
05:40:26 15.10.25,1760506826,21,male,stem,stem,1-2,visual,brief,UID_ZX95UZ20LH93Nm58SR,,
05:42:58 15.10.25,1760506978,23,male,stem,non-stem,0-1,textual,detailed,UID_Rp08jp53qp53cx84Me,,
05:45:16 15.10.25,1760507116,32,female,non-stem,non-stem,1-2,visual,detailed,UID_xR33kk50iC99Aa91oO,,
05:47:11 15.10.25,1760507231,35,female,non-stem,non-stem,3-4,visual,brief,UID_mz38nF38ZM02Nd95Fw,,
05:49:38 15.10.25,1760507378,24,female,stem,stem,1-2,textual,brief,UID_NX02wu39MB53nq18Rz,,
05:51:58 15.10.25,1760507518,22,female,stem,stem,3-4,visual,brief,UID_Eh93hV50pa35wS78XW,,
05:55:22 15.10.25,1760507722,23,male,stem,non-stem,3-4,textual,detailed,UID_UH82Ei72CN08OE28IY,,
05:57:40 15.10.25,1760507860,23,male,stem,non-stem,0-1,textual,detailed,UID_Ef16VU53Cd11gm02av,,
05:59:54 15.10.25,1760507994,25,male,stem,stem,3-4,textual,brief,UID_Zb26aB23Dg23dk90KE,,
06:02:22 15.10.25,1760508142,28,female,stem,stem,3-4,textual,brief,UID_AU59Ct86Cq45VJ83xf,,
06:05:17 15.10.25,1760508317,25,female,stem,stem,3-4,textual,brief,UID_SS03jl37sP43yy38VC,,
06:08:24 15.10.25,1760508504,25,female,non-stem,non-stem,0-1,textual,brief,UID_qs12zi22mH08EK63kC,,
06:13:10 15.10.25,1760508790,23,male,stem,non-stem,0-1,textual,brief,UID_ea49Hq37kT37Gq79IZ,,
06:16:28 15.10.25,1760508988,21,female,stem,non-stem,0-1,visual,detailed,UID_BP52yJ56cV00wS87hu,,
06:19:14 15.10.25,1760509154,20,female,non-stem,non-stem,1-2,textual,brief,UID_Bk25jp71ER15cW41fC,,
06:22:00 15.10.25,1760509320,23,male,stem,stem,1-2,textual,brief,UID_WT44ix96Jv53eQ64pb,,
06:24:14 15.10.25,1760509454,29,male,stem,stem,3-4,textual,brief,UID_GH68cw79WF33YP86uy,,
06:54:02 15.10.25,1760511242,21,female,stem,non-stem,0-1,textual,brief,UID_Sk67ig56Gh03YK90gm,,
07:54:14 15.10.25,1760514854,31,female,stem,stem,1-2,textual,detailed,UID_pY11SA48dM67hC13fr,,
07:59:11 15.10.25,1760515151,21,female,stem,non-stem,0-1,visual,brief,UID_cV12AC49Fi32kR03TZ,,
08:02:46 15.10.25,1760515366,23,female,stem,stem,3-4,visual,detailed,UID_Cl67Kz56Cw50EB43Dk,,
08:06:59 15.10.25,1760515619,34,male,stem,stem,3-4,textual,brief,UID_JI33pC53sW27HV58dT,,
08:10:40 15.10.25,1760515840,34,male,stem,stem,5,textual,brief,UID_XA25AD29Ii23qR45Sr,,
08:13:11 15.10.25,1760515991,29,male,non-stem,non-stem,0-1,textual,brief,UID_GW74ug58eY77aZ74ax,,
08:14:58 15.10.25,1760516098,27,female,stem,non-stem,1-2,textual,brief,UID_Cj27wf68Lw34Az21Au,,
08:19:32 15.10.25,1760516372,39,male,stem,stem,5,textual,brief,UID_la83KE59aS23mp03gc,,
08:28:02 15.10.25,1760516882,35,male,stem,stem,1-2,textual,brief,UID_eE35cX80cl97lE32lv,,
08:30:27 15.10.25,1760517027,32,male,stem,stem,3-4,textual,brief,UID_FO79Md93vs33Gv28dx,,
08:32:46 15.10.25,1760517166,25,female,stem,stem,1-2,textual,brief,UID_dd22KW03HX22jf97Cu,,
08:51:40 15.10.25,1760518300,49,male,stem,stem,5,textual,brief,UID_Tq22ee80fQ68Ez01TU,,
08:53:57 15.10.25,1760518437,35,male,stem,stem,5,visual,brief,UID_MM03mC26eh40xw31xm,,
08:58:32 15.10.25,1760518712,34,male,stem,stem,5,textual,brief,UID_iH51TF24tD80dn84nC,,
09:01:10 15.10.25,1760518870,36,male,stem,stem,5,visual,brief,UID_Iz52xA54Pv84Jr92FS,,
09:16:36 15.10.25,1760519796,26,male,stem,stem,3-4,textual,brief,UID_ys34Wg77wj37Tu16FT,,
09:22:56 15.10.25,1760520176,39,male,stem,stem,5,textual,brief,UID_wh63At64VX53cv82wk,,
09:25:42 15.10.25,1760520342,43,female,stem,stem,3-4,visual,detailed,UID_PK40TM77GS06lS00aL,,
09:28:19 15.10.25,1760520499,37,female,stem,stem,3-4,textual,brief,UID_tn96zW89dX86ck87dC,,
09:55:13 15.10.25,1760522113,29,male,stem,stem,3-4,visual,brief,UID_BK10xG78RZ84AS28OE,,
10:08:18 15.10.25,1760522898,45,male,stem,stem,0-1,visual,brief,UID_EC85fS47ui09vh44VW,,
10:24:47 15.10.25,1760523887,28,male,stem,non-stem,3-4,textual,brief,UID_we29LM61Gb71sd27Bc,,
11:59:33 15.10.25,1760529573,26,female,stem,stem,3-4,visual,brief,UID_GI85PV94NP23Sq25bz,,
07:00:23 16.10.25,1760598023,25,male,stem,stem,3-4,textual,brief,UID_EY81vW34mD85sC51ZB,,
08:14:40 17.10.25,1760688880,27,male,stem,stem,1-2,textual,brief,UID_iJ74Cu20Cx77sd78bo,,
09:01:04 17.10.25,1760691664,27,male,stem,stem,3-4,visual,detailed,UID_GQ99LE04Yj17hj44dK,,
09:10:07 17.10.25,1760692207,25,male,stem,stem,1-2,visual,brief,UID_cA26mv07oN97bX58tH,,
09:13:41 17.10.25,1760692421,18,male,stem,non-stem,1-2,textual,brief,UID_qD05Ru17Mu33KG63hn,,
09:14:05 17.10.25,1760692445,15,male,stem,non-stem,1-2,visual,detailed,UID_ug24hL65Ow73PW18xI,,
09:14:51 17.10.25,1760692491,20,male,stem,stem,1-2,textual,brief,UID_lA21Of82Ct84Zi86eT,,
09:14:55 17.10.25,1760692495,27,male,stem,stem,1-2,visual,brief,UID_Xs65XK08QB39hn10hQ,,
09:15:01 17.10.25,1760692501,22,male,stem,stem,1-2,textual,brief,UID_oH95MC45ee41BH64Yi,,
09:17:19 17.10.25,1760692639,19,male,stem,stem,3-4,textual,detailed,UID_nz39Im56xb53fr60cv,,
09:18:45 17.10.25,1760692725,15,female,stem,stem,1-2,visual,detailed,UID_OD86mb97wy67Eg22fc,,
09:23:11 17.10.25,1760692991,24,male,stem,non-stem,1-2,textual,brief,UID_QQ92Ft68nh86oU22jZ,,
09:24:23 17.10.25,1760693063,22,male,stem,stem,1-2,textual,detailed,UID_dT19xs25DD43WR91Ct,,
09:27:57 17.10.25,1760693277,28,male,stem,stem,1-2,textual,brief,UID_zP28Yo37OF81hO08ky,,
09:31:04 17.10.25,1760693464,17,male,stem,stem,1-2,textual,detailed,UID_Lf26YD71zv67SZ76WP,,
09:36:37 17.10.25,1760693797,26,male,stem,non-stem,3-4,visual,detailed,UID_Tx99hn42YE28tK90tZ,,
09:45:59 17.10.25,1760694359,23,male,stem,stem,3-4,textual,brief,UID_jB68Mw26Rr75eD51MD,,
09:46:21 17.10.25,1760694381,26,male,stem,stem,1-2,visual,brief,UID_fx66MG91rc91ME96OY,,
09:53:28 17.10.25,1760694808,23,female,stem,stem,3-4,visual,brief,UID_bq81ma75cm55gt20dE,,
10:50:11 17.10.25,1760698211,22,female,stem,stem,1-2,visual,brief,UID_Sw96eT15Yn09Zm37KQ,,
11:25:51 17.10.25,1760700351,23,male,stem,stem,1-2,textual,brief,UID_hT41ae83oQ49hc87Qv,,
07:33:45 19.10.25,1760859225,33,male,stem,non-stem,1-2,visual,brief,UID_aT05lo46IV73IQ84uz,,
22:46:25 19.10.25,1760913985,25,male,stem,non-stem,3-4,textual,detailed,UID_RV63uP66pH66Rr20nD,,
